Year,Revenue,OPEX,EBITDA,D&A,Grant Release,EBIT,Interest,EBT,Taxes Before Credit,Tax Credit Used,Taxes Paid,Net Income
2025,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,-600000.0,0.0,0.0,0.0,-600000.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,-1500000.0,0.0,0.0,0.0,-1500000.0
2027,11119755.0,3102500.0,8017255.0,2409145.1694486598,976000.0,6584109.83055134,1375000.0,5209109.83055134,1250186.3593323217,1015946.3593323217,234240.0,4974869.83055134
2028,13354102.26,3553160.0,9800942.26,2409145.1694486598,976000.0,8367797.09055134,1250000.0,7117797.09055134,1708271.3017323215,1474031.3017323215,234240.0,6883557.09055134
2029,14107184.3663,3760340.0999999996,10346844.2663,2409145.1694486598,976000.0,8913699.096851341,1125000.0,7788699.096851341,1869287.7832443218,1635047.7832443216,234240.00000000023,7554459.096851341
2030,14118589.825323,3840880.082,10277709.743323,2409145.1694486598,976000.0,8844564.57387434,1000000.0,7844564.573874339,1882695.4977298414,1648455.4977298416,234239.99999999977,7610324.573874339
2031,14130217.50724343,3923220.6780450004,10206996.82919843,2409145.1694486598,976000.0,8773851.659749769,875000.0,7898851.659749769,1895724.3983399444,1360542.2579611954,535182.140378749,7363669.51937102
2032,14142071.797656408,4007403.5936099747,10134668.204046432,2409145.1694486598,976000.0,8701523.034597773,750000.0,7951523.034597773,1908365.5283034656,0.0,1908365.5283034656,6043157.506294307
2033,14154157.169280326,4093471.5315771373,10060685.637703188,2409145.1694486598,976000.0,8627540.468254529,625000.0,8002540.468254529,1920609.7123810868,0.0,1920609.7123810868,6081930.755873442
2034,14166478.183693433,4181468.2168208924,9985009.966872541,2409145.1694486598,976000.0,8551864.79742388,500000.0,8051864.797423881,1932447.5513817312,0.0,1932447.5513817312,6119417.246042149
2035,14179039.493105076,4271438.421416292,9907601.071688784,2409145.1694486598,976000.0,8474455.902240124,375000.0,8099455.902240124,1943869.4165376297,0.0,1943869.4165376297,6155586.485702494
2036,14191845.842162328,4363427.990487233,9828417.851675095,2409145.1694486598,976000.0,8395272.682226434,250000.0,8145272.682226434,1954865.443734344,0.0,1954865.443734344,6190407.23849209
2037,14204902.069792677,4457483.8687110515,9747418.201081626,2409145.1694486598,976000.0,8314273.031632966,125000.0,8189273.031632966,1965425.5275919118,0.0,1965425.5275919118,6223847.504041054
2038,14218213.111083504,4553654.127496649,9664558.983586855,2409145.1694486598,976000.0,8231413.8141381955,0.0,8231413.8141381955,1975539.3153931668,0.0,1975539.3153931668,6255874.498745029
2039,14231783.999199098,4651987.992853677,9579796.006345421,2409145.1694486598,976000.0,8146650.836896761,0.0,8146650.836896761,1955196.2008552225,0.0,1955196.2008552225,6191454.636041539
2040,14245619.867335944,4752535.873970879,9493083.993365064,2409145.1694486598,976000.0,8059938.8239164045,0.0,8059938.8239164045,1934385.317739937,0.0,1934385.317739937,6125553.506176468
2041,14259725.950717054,4855349.392522041,9404376.558195014,2409145.1694486598,976000.0,7971231.388746354,0.0,7971231.388746354,1913095.5332991248,0.0,1913095.5332991248,6058135.855447229
2042,14274107.588626131,4960481.412718607,9313626.175907524,2409145.1694486598,976000.0,7880481.006458865,0.0,7880481.006458865,1891315.4415501275,0.0,1891315.4415501275,5989165.564908737
2043,14288770.226482337,5067986.072128499,9220784.154353838,2409145.1694486598,976000.0,7787638.984905179,0.0,7787638.984905179,1869033.3563772428,0.0,1869033.3563772428,5918605.628527936
