Year,NOPAT,D&A,Change in NWC,CFO,CAPEX,Grant Cash,CFI,Debt Draw,Debt Repay,Interest Paid,CFF,Net CF,Closing Cash
2025,0.0,0.0,0.0,0.0,-20490000.0,0.0,-20490000.0,12000000.0,-0.0,-600000.0,19890000.0,-600000.0,4400000.0
2026,0.0,0.0,0.0,0.0,-28310000.0,0.0,-28310000.0,18000000.0,-0.0,-1500000.0,26810000.0,-1500000.0,2900000.0
2027,5003923.471219018,2409145.1694486598,-1443292.191780822,6339722.808219178,-0.0,9760000.0,9760000.0,0.0,-2500000.0,-1375000.0,-3875000.0,12224722.808219178,15124722.808219178
2028,6359525.788819019,2409145.1694486598,-301546.1967123288,9265156.063287672,-0.0,9760000.0,9760000.0,0.0,-2500000.0,-1250000.0,-3750000.0,15275156.063287672,30399878.871506847
2029,6774411.313607019,2409145.1694486598,-98164.71569589025,10014439.55060411,-0.0,0.0,0.0,0.0,-2500000.0,-1125000.0,-3625000.0,6389439.550604111,36789318.42211096
2030,6721869.076144498,2409145.1694486598,3392.4812561915314,10046862.224579189,-0.0,0.0,0.0,0.0,-2500000.0,-1000000.0,-3500000.0,6546862.224579189,43336180.646690145
2031,6668127.261409825,2409145.1694486598,3470.2581486878917,9675284.94696837,-0.0,0.0,0.0,0.0,-2500000.0,-875000.0,-3375000.0,6300284.946968369,49636465.593658514
2032,6613157.506294307,2409145.1694486598,3549.87872097356,8229852.554463941,-0.0,0.0,0.0,0.0,-2500000.0,-750000.0,-3250000.0,4979852.554463941,54616318.14812245
2033,6556930.755873442,2409145.1694486598,3631.388394141657,8143707.313716242,-0.0,0.0,0.0,0.0,-2500000.0,-625000.0,-3125000.0,5018707.313716242,59635025.46183869
2034,6499417.246042149,2409145.1694486598,3714.8337531647994,8056277.249243975,-0.0,0.0,0.0,0.0,-2500000.0,-500000.0,-3000000.0,5056277.249243975,64691302.71108267
2035,6440586.485702494,2409145.1694486598,3800.2625778256624,7967531.91772898,-0.0,0.0,0.0,0.0,-2500000.0,-375000.0,-2875000.0,5092531.91772898,69783834.62881164
2036,6380407.23849209,2409145.1694486598,3887.7238744983333,7877440.131815247,-0.0,0.0,0.0,0.0,-2500000.0,-250000.0,-2750000.0,5127440.131815247,74911274.76062688
2037,6318847.504041054,2409145.1694486598,3977.267908799229,7785969.9413985135,-0.0,0.0,0.0,0.0,-2500000.0,-125000.0,-2625000.0,5160969.9413985135,80072244.7020254
2038,6255874.498745029,2409145.1694486598,4068.946239134122,7693088.614432823,-0.0,0.0,0.0,0.0,-2500000.0,-0.0,-2500000.0,5193088.614432823,85265333.31645823
2039,6191454.636041539,2409145.1694486598,4162.8117511716555,7628762.617241371,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7628762.617241371,92894095.9336996
2040,6125553.506176468,2409145.1694486598,4258.918693257903,7562957.594318384,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7562957.594318384,100457053.52801798
2041,6058135.855447229,2409145.1694486598,4357.322712808847,7495638.347608697,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7495638.347608697,107952691.87562668
2042,5989165.564908737,2409145.1694486598,4458.080893708568,7426768.815251106,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7426768.815251106,115379460.6908778
2043,5918605.628527936,2409145.1694486598,4561.251794726646,7356312.049771322,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,7356312.049771322,122735772.74064912
