Year,EBIT,D&A,ΔNWC,FCFF,FCFE
2027,6584109.83055134,2409145.1694486598,1443292.191780822,5969776.448886856,2424776.4488868564
2028,8367797.09055134,2409145.1694486598,301546.1967123288,8467124.76155535,5017124.761555349
2029,8913699.096851341,2409145.1694486598,98164.71569589013,9085391.76735979,5730391.767359789
2030,8844564.57387434,2409145.1694486598,-3392.481256191386,9134406.726849347,5874406.726849347
2031,8773851.659749769,2409145.1694486598,-3470.2581486878917,9080742.689007174,5915742.689007174
2032,8701523.034597773,2409145.1694486598,-3549.8787209736183,9025852.554463942,5955852.554463942
2033,8627540.468254529,2409145.1694486598,-3631.3883941418026,8969707.313716242,5994707.313716242
2034,8551864.79742388,2409145.1694486598,-3714.833753164625,8912277.249243975,6032277.249243975
2035,8474455.902240124,2409145.1694486598,-3800.2625778256916,8853531.917728981,6068531.917728981
2036,8395272.682226434,2409145.1694486598,-3887.7238744983915,8793440.131815247,6103440.131815247
2037,8314273.031632966,2409145.1694486598,-3977.267908799229,8731969.941398513,6136969.941398513
2038,8231413.8141381955,2409145.1694486598,-4068.946239134064,8669088.614432823,6169088.614432823
2039,8146650.836896761,2409145.1694486598,-4162.811751171714,8604762.617241371,8604762.617241371
2040,8059938.8239164045,2409145.1694486598,-4258.918693257961,8538957.594318384,8538957.594318384
2041,7971231.388746354,2409145.1694486598,-4357.322712808847,8471638.347608697,8471638.347608697
2042,7880481.006458865,2409145.1694486598,-4458.080893708393,8402768.815251106,8402768.815251106
2043,7787638.984905179,2409145.1694486598,-4561.251794726821,8332312.049771322,8332312.049771322
