Year,Gate Fee,Tariff,CO2,GO,Compost,Total
2025,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0
2027,8550000.0,2104800.0,410400.0,9000.0,45555.0,11119755.0
2028,10260000.0,2525760.0,502329.60000000003,10800.0,55212.66,13354102.26
2029,10830000.0,2666080.0,540841.536,11400.0,58862.8303,14107184.3663
2030,10830000.0,2666080.0,551658.36672,11400.0,59451.45860300001,14118589.825323
2031,10830000.0,2666080.0,562691.5340544,11400.0,60045.97318903,14130217.50724343
2032,10830000.0,2666080.0,573945.3647354881,11400.0,60646.43292092031,14142071.797656408
2033,10830000.0,2666080.0,585424.2720301979,11400.0,61252.89725012951,14154157.169280326
2034,10830000.0,2666080.0,597132.7574708018,11400.0,61865.4262226308,14166478.183693433
2035,10830000.0,2666080.0,609075.4126202179,11400.0,62484.08048485711,14179039.493105076
2036,10830000.0,2666080.0,621256.9208726222,11400.0,63108.92128970568,14191845.842162328
2037,10830000.0,2666080.0,633682.0592900746,11400.0,63740.01050260273,14204902.069792677
2038,10830000.0,2666080.0,646355.7004758761,11400.0,64377.41060762876,14218213.111083504
2039,10830000.0,2666080.0,659282.8144853937,11400.0,65021.18471370506,14231783.999199098
2040,10830000.0,2666080.0,672468.4707751016,11400.0,65671.39656084211,14245619.867335944
2041,10830000.0,2666080.0,685917.8401906036,11400.0,66328.11052645055,14259725.950717054
2042,10830000.0,2666080.0,699636.1969944156,11400.0,66991.39163171503,14274107.588626131
2043,10830000.0,2666080.0,713628.9209343039,11400.0,67661.3055480322,14288770.226482337
