Year,Feedstock,Utilities,Chemicals,Maintenance,Personnel,Insurance,Overheads,Digestate,Other,Total
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,600000.0,285000.0,75000.0,890000.0,600000.0,222500.0,150000.0,135000.0,37500.0,2995000.0
2028,734400.0,352260.0,91800.0,907800.0,737999.9999999999,224725.0,183600.0,165240.0,45900.0,3443725.0
2029,790704.0,382984.9,98838.0,925956.0,798474.9999999999,226972.25,197676.0,177908.4,49419.0,3648933.55
2030,806518.0800000001,394474.4469999999,100814.76000000001,944475.1200000001,818436.8749999998,229241.97250000003,201629.52000000002,181466.56800000003,50407.380000000005,3727464.7224999997
2031,822648.4416,406308.68041000003,102831.0552,963364.6224,838897.7968749997,231534.39222500002,205662.1104,185095.89936,51415.5276,3807758.52607
2032,839101.410432,418497.9408223,104887.67630400001,982631.914848,859870.2417968746,233849.73614725002,209775.35260800002,188797.8173472,52443.838152000004,3889855.9284576247
2033,855883.4386406401,431052.87904696906,106985.42983008,1002284.5531449601,881366.9978417964,236188.23350872254,213970.85966016,192573.773694144,53492.71491504,3973798.880282512
2034,873001.1074134528,443984.4654183781,109125.1384266816,1022330.2442078593,903401.1727878413,238550.11584380973,218250.2768533632,196425.2491680269,54562.5692133408,4059630.339332754
2035,890461.1295617219,457303.9993809295,111307.64119521524,1042776.8490920165,925986.2021075371,240935.61700224786,222615.28239043048,200353.75415138743,55653.82059760762,4147394.2954790937
2036,908270.3521529564,471023.1193623574,113533.79401911955,1063632.3860738568,949135.8571602255,243344.97317227029,227067.5880382391,204360.8292344152,56766.897009559776,4237135.796223
2037,926435.7591960155,485153.8129432282,115804.46989950194,1084905.033795334,972864.2535892309,245778.422903993,231608.93979900389,208448.0458191035,57902.23494975097,4328900.972895162
2038,944964.4743799359,499708.4273315249,118120.55929749199,1106603.1344712407,997185.8599289617,248236.20713303293,236241.11859498397,212617.00673548557,59060.27964874599,4422737.0675214045
2039,963863.7638675345,514699.6801514707,120482.97048344182,1128735.1971606654,1022115.5064271857,250718.56920436327,240965.94096688365,216869.34687019527,60241.48524172091,4518692.46037346
2040,983141.0391448854,530140.6705560149,122892.62989311067,1151309.9011038789,1047668.3940878651,253225.75489640693,245785.25978622134,221206.7338075992,61446.314946555336,4616816.6982225375
2041,1002803.859927783,546044.8906726954,125350.48249097288,1174336.0991259564,1073860.1039400618,255758.01244537102,250700.96498194576,225630.86848375117,62675.24124548644,4717160.523314024
2042,1022859.9371263387,562426.2373928762,127857.49214079232,1197822.8211084756,1100706.6065385633,258315.59256982472,255714.98428158465,230143.48585342622,63928.74607039616,4819775.903082277
2043,1043317.1358688655,579299.0245146626,130414.64198360818,1221779.277530645,1128224.2717020272,260898.74849552297,260829.28396721635,234746.35557049472,65207.32099180409,4924716.060624847
